Site name,Site position,Address1,Address2,Address3,Postcode,Longitude,Latitude
Akroyd Library,Library area,Bankfield,Boothtown Road,Halifax,HX3 6HG,53.732606,-1.863298
Bailiff Bridge Library,Library area,64 Devon Way,,Brighouse,HD6 4DT,53.721358,-1.778423
Brighouse Civic Hall,Hall,Bradford Road,,Brighouse,HD6 1RW,53.701858,-1.779431
Brighouse Civic Hall,Downstairs corridor,Bradford Road,,Brighouse,HD6 1RW,53.701858,-1.779431
Brighouse Library,External,Halifax Road,,Brighouse,HD6 2AF,53.703935,-1.786137
Brighouse Library,Gallery,Halifax Road,,Brighouse,HD6 2AF,53.703935,-1.786137
Brighouse Library,ICT corridor,Halifax Road,,Brighouse,HD6 2AF,53.703935,-1.786137
Brighouse Library,Meeting room,Halifax Road,,Brighouse,HD6 2AF,53.703935,-1.786137
Brighouse Library,Library area,Halifax Road,,Brighouse,HD6 2AF,53.703935,-1.786137
Central Library and Archive,AP09,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP08,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP12,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP05,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP07,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP06,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP02,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP03,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP11,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP10,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP04,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Central Library and Archive,AP01,Square Road,,Halifax,HX1 1QG,53.722010,-1.855965
Customer First,AP1,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Customer First,AP2,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Customer First,AP3,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Customer First,AP4,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Customer First,AP5,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Customer First,Public area,19 Horton Street,,Halifax,HX1 1QE,53.721094,-1.857577
Elland Library,Children's library,Coronation Street,,Elland,HX5 0DF,53.684578,-1.837863
Elland Library,Main library,Coronation Street,,Elland,HX5 0DF,53.684578,-1.837863
Greetland Library,Library area,310 Rochdale Road,Greetland,Halifax,HX4 8JE,53.688267,-1.866372
Halifax Borough Market,AP4,Market Street,,Halifax,HX1 1DZ,53.722352,-1.859409
Halifax Borough Market,AP1,Market Street,,Halifax,HX1 1DZ,53.722352,-1.859409
